Фамилия,Имя,Отчество,Название организации,Телефон рабочий,Телефон личный
Шинкаренко,Владислав,Андрійович,Мега-Дизайн,+380501067676,+380509698128
Шевченко,Тарас,Іванович,"ПрАТ ""Приват""",+380998424300,+380996305826
Павлюк,Йосип,Миколайович,Приват,0509967223,0672817314
Васильчук,Артур,Борисович,"ПАТ ""Вектор-Груп""",0634980566,0993675947
Вадим,Васильович,Мірошниченко,"ПАТ ""Альфа""",0993433186,0502523106
Михайло,Йосипович,Васильчук,"ТОВ ""Вектор-Сервіс""",+380633410156,0635922628
Олег,Петрович,Мірошниченко,Вектор,0509424591,0994389362
Лев,Васильович,Гнатюк,"ТОВ ""Еко-Плюс""",0932128327,+380960055164
Тимофій,Михайлович,Сергієнко,Приват,0990275033,0960564785
Павлюк,Михайло,Петрович,Макс,+380995451450,0670282883
Крамарчук,Bіктор,Миколайович,Приват-Сервіс,0996312418,+380637319233
Дмитренко,Віталій,Євгенович,"ПАТ ""Макс-Дизайн""",0963829787,+380632213547
Мельниченко,Станіслав,Євгенійович,"ПАТ ""Смарт""",0935616320,0632880867
Шевчук,Кирил,Васильович,Майнер-Плюс,+380933063535,0993032558
Павлюк,Ілля,Валентинович,Планета,0636426618,+380968617958
Артем,Олексійович,Кравченко,Вектор,0997722596,+380994591848
Олексій,Михайлович,Захарчук,"ПАТ ""Приват""",0509655556,+380507042558
Микитюк,Дмитро,Петрович,"ТОВ ""Смарт-Стиль""",0631009795,0679914333
Пономарчук,Ілля,Васильович,"ПрАТ ""Мульти""",0635659373,0638281626
Іванченко,Сергій,Васильович,"ПАТ ""Планета-Груп""",0677422522,+380502228653
Дмитро,Олександрович,Василенко,"ПАТ ""Інфоком-Плюс""",+380931237102,0995699975
Bіктор,Тарасович,Шинкаренко,"ПрАТ ""Смарт-Плюс""",0672575693,+380939324105
Гнатюк,Валентин,Йосипович,Мегамакс,+380632422042,0630791184
Гнатюк,Олександр,Васильович,Система-Плюс,0990795304,+38(0421)575558
Назар,Йосипович,Пономаренко,"ПАТ ""Мульти-Стиль""",0995911676,+380676252409
Дмитренко,Данило,Федорович,Приват,+380999777552,+38(090)8691982
Bалерій,Олексійович,Васильєв,Універсал-Стиль,0961902648,0509698807
Шевченко,Ілля,Петрович,Приват-Груп,0677293881,+380936869403
Іванченко,Богдан,Васильович,Приват-Груп,0967408967,+380636749263
Василенко,Ігор,Олександрович,"ПП ""Мега-Плюс""",+38(0138)117780,0634127893
Боднаренко,B'ячеслав,Борисович,"ПАТ ""Інфоком""",+380505511254,0501823294
Сергієнко,Назар,Сергійович,Планета,+38(0873)270161,+380998376567
Васильєв,Мирослав,Володимирович,Мега-Сервіс,0998680100,+38(0850)684078
Крамарчук,Олександр,Романович,Едельвейс,0963245458,+380996748956
Валерій,Федорович,Шевченко,"ТОВ ""Система""",+380506595064,0501850760
Крамаренко,Павло,Федорович,"ПП ""Еко""",0670428222,0505403986
Андрій,Анатолійович,Василенко,"ПАТ ""Мега""",0962372169,+38(028)9280530
Панасюк,Bсеволод,Тарасович,"ПП ""Макс""",+38(0665)464501,0675688962
Таращук,Григорій,Федорович,"ПАТ ""Едельвейс""",0638998606,+380961163611
Анатолій,Олексійович,Іванченко,Мульти,+380635231807,+38(031)7829970
Шевченко,Данил,Олександрович,"ТОВ ""Едельвейс""",+38(0588)316802,+380632267793
Шинкаренко,Андрій,Федорович,"ПрАТ ""Альфа-Дизайн""",+380996171599,+380500204658
Боднаренко,Іван,Федорович,Майнер-Стиль,0636574654,0674625529
Лисенко,Назар,Янович,Макс,+38(099)4363134,+380632363890
Васильєв,Микола,Валентинович,"ПП ""Едельвейс""",+380674536944,+380938197135
Ілля,Андрійович,Захарчук,"ПП ""Універсал""",+380509556598,0992113179
Пономаренко,Антон,Олександрович,"ПрАТ ""Макс-Груп""",+380998188639,0938624965
Тимофій,Валентинович,Гнатюк,Макс,+38(099)2423155,0967819109
Пономарчук,Євген,Михайлович,Планета-Дизайн,+380993995808,0678824391
Сергієнко,Ігор,Євгенійович,"ПрАТ ""Мегамакс""",+380997656993,+38(002)3344208
Валентин,Валентинович,Крамарчук,"ПП ""Смарт""",+38(031)2526552,+380993622930
B'ячеслав,Сергійович,Таращук,Планета-Стиль,+38(0694)346900,0998033092
Сергій,Євгенович,Васильєв,"ТОВ ""Майнер""",0932344807,0932714506
Кравченко,Леонід,Олексійович,Смарт,+380939015656,+380671425008
Євген,Йосипович,Мірошниченко,"ПП ""Мега-Стиль""",0508473005,+38(0330)965551
Федір,Володимирович,Микитюк,Універсал,+380998154868,0967959834
Йосип,Сергійович,Шинкаренко,Інфоком,0967424086,0962532500
Пономарчук,Денис,Васильович,"ПАТ ""Планета""",0990241413,+38(023)3583064
Павлюк,Назар,Євгенійович,Вектор,+380938528291,+380675278491
Васильчук,Болеслав,Васильович,Мегамакс-Плюс,0930354562,+380507919342
Крамарчук,Роман,Петрович,"ПАТ ""Смарт""",0671110357,0677498419
Валентин,Валентинович,Броваренко,Мега,+380968835909,+380930025000
Петренко,Костянтин,Янович,Еко,+380632231074,0960275820
Bсеволод,Володимирович,Середа,Планета,0960488238,+380932647522
Шинкаренко,Олександр,Йосипович,Універсал,0935413329,+380961072996
Геннадій,Сергійович,Шевчук,Смарт-Стиль,0991005632,+380638042402
Владислав,Романович,Середа,Мульти-Груп,0938768074,0500492793
Шинкаренко,Михайло,Михайлович,Планета-Стиль,0960504725,+380934252047
Мельниченко,Bалерій,Федорович,"ПрАТ ""Вектор""",0996424040,+380630315795
Артур,Євгенійович,Петренко,Мегамакс,+380675364956,0504042739
Ілля,Валентинович,Крамарчук,"ПрАТ ""Система-Стиль""",+380500418446,0963481806
Пономарчук,Олег,Євгенійович,Вектор-Сервіс,+38(032)3747705,+380630363874
Таращук,Євген,Анатолійович,"ТОВ ""Планета-Дизайн""",+38(0670)419842,+380677322959
Іван,Євгенович,Шинкаренко,Мульти-Сервіс,+38(057)4863461,+380933001793
Панасюк,Володимир,Євгенович,Едельвейс,+380997749328,+38(099)8679260
Кирил,Андрійович,Захарчук,Мега-Плюс,+380933492860,+380672950499
Васильєв,Іван,Федорович,Інфоком,+380505251300,0999917258
Григорій,Олексійович,Захарчук,Макс,0509025796,+380630712452
Руслан,Валентинович,Шевченко,"ПАТ ""Макс-Сервіс""",0960270614,+380505335176
Шевчук,Вадим,Янович,"ПАТ ""Мульти-Плюс""",0501492901,0961626266
Іванченко,Bалерій,Миколайович,"ПП ""Макс""",0934139630,+38(0246)058392
Васильчук,Ігор,Олексійович,Макс,0962741198,+380501874684
Павлюк,Владислав,Петрович,"ПП ""Альфа""",+380633361537,+38(098)8380019
Пономарчук,Назар,Федорович,"ТОВ ""Планета-Дизайн""",+380639864642,+38(040)8257382
Василенко,Євген,Валентинович,"ПрАТ ""Інфоком-Дизайн""",0671064119,+380997169473
Назар,Михайлович,Шевченко,Планета-Дизайн,0967714038,0676930809
Мірошниченко,Лев,Олексійович,Смарт-Стиль,+380997486463,0502329112
Тимофій,Романович,Крамарчук,"ПрАТ ""Альфа-Дизайн""",+380938206466,+38(092)9391619
Дмитренко,Юрій,Володимирович,Мульти-Сервіс,0992443578,0507742972
Данило,Михайлович,Кравчук,"ПП ""Майнер-Плюс""",+380938469004,+38(092)1129916
Олег,Михайлович,Крамарчук,"ПАТ ""Приват""",+380930192248,+38(048)3173601
Микитюк,Bалерій,Іванович,"ТОВ ""Вектор""",0934229076,+38(052)5412283
Іванченко,Анатолій,Янович,"ПрАТ ""Мега-Дизайн""",0676721337,0930342471
Лисенко,Максим,Романович,"ПП ""Вектор-Дизайн""",0635332764,+380506318930
Романченко,Ярослав,Євгенович,Вектор,+380504806689,+380633189319
Борис,Андрійович,Крамаренко,"ПрАТ ""Система""",0632565824,+38(083)0923238
Лев,Олександрович,Захарчук,"ПП ""Планета""",0964041851,0500973083
Руслан,Сергійович,Сергієнко,"ПрАТ ""Альфа""",0671582393,0965210381
Антон,Анатолійович,Василенко,"ПАТ ""Інфоком""",+380678050186,+380501019247
Мірошниченко,Тарас,Анатолійович,"ТОВ ""Майнер""",+380678208339,0932170785
Костянтин,Йосипович,Мірошниченко,"ПрАТ ""Мегамакс-Дизайн""",0500928565,+380967908195
Дмитренко,Олександр,Миколайович,"ПАТ ""Мульти""",0505866167,0635911176
Дмитренко,Олексій,Сергійович,Інфоком-Груп,+380994535195,0673447870
Микитюк,Анатолій,Федорович,"ТОВ ""Альфа""",0502658113,0509813147
Василенко,Bалерій,Тарасович,Альфа-Плюс,0933494491,+380933155670
Федір,Йосипович,Павлюк,Макс-Груп,+38(0435)938224,0969632651
Крамаренко,Bсеволод,Євгенович,"ПрАТ ""Еко-Сервіс""",+380937288709,0997504765
Йосип,Романович,Васильєв,"ТОВ ""Інфоком-Плюс""",0503956574,+380961551399
Боднаренко,Ігор,Миколайович,Універсал,0930314820,0968406977
Броварчук,Валентин,Тарасович,"ПАТ ""Інфоком""",+380934987164,+380962663616
Костянтин,Андрійович,Боднаренко,"ПАТ ""Мегамакс-Дизайн""",0674450960,0500042845
Шинкаренко,Данило,Федорович,"ТОВ ""Еко""",0963909684,+380996985087
Мельниченко,Тимофій,Янович,"ПрАТ ""Вектор""",0670775515,0931751070
Лисенко,Данил,Миколайович,"ПАТ ""Система""",+380968959602,+380961329629
Захарчук,Євген,Тарасович,Смарт,+380964586356,+380992446678
